c,y,h,k,invest,lambda,productivity
0.9186434791123187,1.2376531726886864,0.3339403267004733,12.66551709347584,0.31900969357636766,1.0012375330897918,3.7062145006756637
0.9186017469288255,1.2369138903967074,0.33375589111452875,12.667191309606826,0.31831214346788195,1.0009237321037965,3.7060461345715936
0.916369343149613,1.2241687982349931,0.33112555389196746,12.658310981952036,0.30779945508538015,0.9956038481906606,3.697039629386497
0.9156773705077835,1.2221793932555878,0.33083969711435873,12.648355230151038,0.3065020227478042,0.9947938893125611,3.694247905396144
0.915832536241503,1.2251182422511888,0.33157677501888916,12.641432055406948,0.30928570600968575,0.9960419721951239,3.6948739126616332
0.9185115083963359,1.2414381693770178,0.33501009178472235,12.648322915002456,0.32292666098068196,1.002864697233103,3.7056820723807253
0.9201331859637268,1.2490050070933667,0.33646416767891973,12.660986663257034,0.3288718211296398,1.0060055215820274,3.7122246376439025
0.9174910862738543,1.2316920495592398,0.33274937130454674,12.658662959960996,0.3142009632853856,0.9987557605802486,3.701565237772803
0.9168626657000528,1.2286874878092342,0.33216637494229745,12.654021208071152,0.3118248221091814,0.9975077126722236,3.6990299109609297
0.9222775890799457,1.25972318817713,0.3385792413405665,12.675116276966557,0.33744559909718447,1.0104634772126047,3.720876109194437
0.9220730303269856,1.2541858586727412,0.33715857383827913,12.690351198388148,0.33211282834575556,1.008106638254479,3.7200508286218334
0.9259076705567646,1.2722995253876461,0.34065657119252735,12.719484273259326,0.34639185483088153,1.0156280317737736,3.73552146499778
0.930293495876224,1.2905738832561275,0.3439978349649804,12.761777553807747,0.3602803873799034,1.0231853892371388,3.7532158260486175
0.9333329940540425,1.298626675113611,0.3450683448090937,12.808026796022121,0.36529368105956855,1.0264497868225995,3.765478507358121
0.9416873672914063,1.3353657209340064,0.35195375538418894,12.88150447976417,0.3936783536426002,1.0416707486937091,3.7991837476830117
0.945106651292897,1.3390207076042993,0.35169908471113004,12.953380924081467,0.39391405631140236,1.0430310678999197,3.812978653145682
0.9474734094936247,1.3371654806401991,0.3503389343045468,13.019238472126004,0.3896920711465744,1.0420965848279475,3.8225272035491598
0.9444170722288547,1.3064535204186765,0.34315714921575824,13.055793958512677,0.3620364481898218,1.0291390390252357,3.8101965859078186
0.9485692115857498,1.3218816149498327,0.34581483876446767,13.102711512913942,0.3733124033640828,1.0354925942975446,3.82694815432718
0.9469838099010954,1.3032890809171063,0.3413709397590791,13.131448996107105,0.35630527101601095,1.0276325481276558,3.8205519420351823
0.9561039376250762,1.3479339248068127,0.3501126924928655,13.194992758386164,0.39182998718173667,1.0461902589839853,3.8573465749773264
0.9562692095878614,1.3355932190723283,0.3467210169113532,13.244441948910977,0.37932400948446693,1.0409007712778575,3.858013355245142
0.953835120504817,1.3117599912959936,0.34117039496980156,13.271255770979378,0.3579248707911766,1.0308491060599705,3.8481931622533705
0.9561233465109682,1.3188710167930362,0.3422594129312901,13.302222046986962,0.3627476702820679,1.0337552773964704,3.857424879015803
0.9525196881099759,1.2924000341005413,0.33642129516552355,13.309546841802852,0.3398803459905654,1.0226446799980167,3.8428861255984867
0.9520288955114382,1.2881465141498585,0.3354511445125941,13.312925789396202,0.33611761863842016,1.020854111128372,3.840906050970099
0.9502092281858977,1.2773375127773496,0.3331936515127017,13.307230929252748,0.327128284591452,1.0163379855322134,3.8335647073676373
0.9498831584884807,1.2767151927618599,0.33314402572325386,13.30138219029481,0.3268320342733792,1.0160911358668159,3.8322491978492272
0.9513121124940397,1.2858700199216009,0.3350967888489374,13.303405542965,0.33455790742756125,1.019922804090407,3.83801423094054
0.9483175451665188,1.2688200495314288,0.33158096087118405,13.291322908755784,0.32050250436490996,1.0128065197210563,3.825932820573123
0.9448105278678127,1.2518678351581016,0.32827757715421874,13.26609714332718,0.3070573072902888,1.005762537558171,3.8117839601478094
0.9436399573098672,1.2506314163168968,0.32836876931205594,13.24143617375103,0.3069914590070296,1.0053031909842851,3.8070613602768413
0.9418153300671761,1.245645402007653,0.3276851328643986,13.21423034134773,0.30383007194047684,1.0032785775438675,3.799700006172718
0.9365848813505933,1.222279023106555,0.3232758084426131,13.169568724569999,0.2856941417559616,0.9935929651556639,3.7785980604024485
0.937030110215358,1.2340698700237593,0.32629738487226567,13.13736926626415,0.2970397598084014,0.9986108980308162,3.780394310756617
0.9308784229418854,1.206630091525474,0.32112281750746685,13.084686703191135,0.2757516685835886,0.9872373789902141,3.755575680793014
0.9299482809068175,1.2124575491186211,0.3230337822649276,13.04007880382316,0.2825092682118036,0.989785832231961,3.751823076026921
0.9257725089458376,1.1985783665970764,0.3208028390376324,12.98688269137882,0.27280585765123877,0.9840963452629943,3.734976163219949
0.925897910621116,1.2103740458448582,0.3239418381411507,12.94668675931809,0.28447613522374215,0.9891353683829474,3.7354820890964113
0.9267340675724374,1.2234038164189,0.32715595956938903,12.919689339181602,0.2966697488464627,0.9946600914511098,3.7388555164251747
0.9285204495638462,1.2389559893270594,0.33070607084846254,12.907132645465275,0.3104355397632133,1.0012074423046657,3.7460625722535172
0.932450604454904,1.263398735520728,0.33587807780066925,12.915402460394468,0.3309481310658238,1.0114308906866318,3.7619185570597393
0.9292864849113727,1.2441039761060577,0.33181777337361623,12.90733489007929,0.31481749119468494,1.003364315055506,3.749153097988023
0.9237752380239415,1.2151852242234558,0.326011399967033,12.876061504026822,0.29140998619951436,0.9913199623489123,3.7269182880803338
0.92117186736923,1.2072547972313556,0.3248155828148006,12.840242896288277,0.28608292986212575,0.9880819752346587,3.716415138283365
