Statistic,c,y,h,k,invest,lambda,productivity
StdDev,0.005035406439489109,0.017461170420618607,0.013269476773663795,0.004757969520508332,0.05650762352516483,0.008967764996806713,0.005035406439488967
RelStdDev,0.2879412524422502,1.0,0.7603442934606361,0.27145756926046577,3.235633781834036,0.5137067351225305,0.28794125244224167
CorrWithY,0.8737134957056051,1.0,0.9823678817568965,0.3574726631740423,0.9899721219551939,0.9997072365719736,0.8737134957056162
