Statistic,c,k,invest,leisure,hM,hH,cM,cH,yM,yH,zM,zH,productivity
StdDev,0.7072768578771409,0.5001368393607173,0.8996866433830492,0.5133561364024374,0.8278035790706366,0.7136867259254752,0.5849248724110823,0.7918494973808525,0.7611260683691873,0.7918494973808479,0.8338065584439922,0.8337294429283792,0.592925411736993
RelStdDev,0.9543870548903173,0.6645720813868639,1.2170827890804234,0.7008824909729796,1.11060822640064,0.9570597154863651,0.7758189645247346,1.071197870267864,1.0,1.0711978702678615,1.1201996102496166,1.1347360816033225,0.7910038724090155
CorrWithY,-0.04177010019517296,0.012603210117779064,0.3415692355408518,-0.08509445648860967,0.5303804917949314,0.19929907768962826,0.16189464136341047,0.09623565722785475,1.0,0.0962356572278553,0.4906878633450472,0.013251494686625577,0.05572996984809555
