sigma_y,rel_sigma_c,rel_sigma_i,rel_sigma_h,rel_sigma_p,rel_sigma_h_p,corr_h_p
5.284215532946899,0.8673168438015504,1.0774007965426586,0.9930703955377382,0.6858010151569027,1.4480445108564561,0.16895605845440292
4.819452984638959,0.7871884538318246,1.1274607522063418,0.8284310956891981,0.932632371503965,0.8882718646718946,-0.021663070730821132
6.3646492199308975,0.824664390271767,1.077317837198443,0.9578457894325888,0.7416184577087145,1.2915614214779993,0.12515003140949207
4.916000656518392,0.9203556045141305,1.2588942896773236,1.1029800884627907,0.7090857668551033,1.5554960203963266,0.1404136063091826
6.432843035161708,0.7297386585812483,1.1329888779392752,1.0240242955776482,0.6900417495352154,1.4840033900374727,0.16755461685447012
4.272046777162073,1.2042298204492734,1.156259976877918,0.9385680785130676,0.9649593508659458,0.9726503791800194,-0.05832194712065856
6.258440566723317,0.6155837347563862,1.1215723982482126,0.8367590268355491,0.37209495081801625,2.248778235221983,0.09123119999127426
4.070664778234583,1.2147014076545934,1.5236750908452654,1.1179893819134197,1.0783077850342182,1.0367998798023537,-0.03168882258774517
4.391284246444941,0.9199809358341678,1.342734848470293,0.980071834518555,0.7618656140968166,1.2864103804979035,0.06579215309943072
4.320302039204773,0.6101947482262366,1.388048907161978,1.0439614348747979,0.8282724279742145,1.2604082903352398,0.06839897965030582
5.811296190255395,0.7816882446289166,1.1651421146528504,0.9949031259105808,0.8570568779889342,1.1608367559514836,-0.0496365566505494
4.98961473892544,0.9034686547725684,1.1100212519909542,0.904716233090208,0.6329218494865433,1.4294280310028125,0.12066350690049525
4.258965647631956,0.8534896608699186,1.2164206290642923,0.9624073301497102,1.0539564458476036,0.9131376670652945,0.11339332449317117
3.106729127255017,1.2717362556158909,1.733613162595943,1.0096360038726586,1.7473987377879365,0.5777937124704434,0.16698324101946313
5.6532774860143755,0.663107623787087,1.067912522337362,0.9803183112297733,0.8484191161514949,1.155464666657424,0.004852596993088128
5.602127756754126,0.9173798577053669,1.0341395764073418,1.008440601576747,0.6253987329502786,1.6124762466650564,-0.07342944037126097
5.23543014986588,0.915702070242606,1.0913341819923594,0.9560689295528422,0.8320712555756458,1.149022902962093,0.1644081978010204
5.1059444973403085,0.7308103143290584,1.2948590849055357,1.0179304926698047,0.44834496761740034,2.2704180178029025,-0.022704718117232525
4.1615402655900375,0.5648605781635799,1.4150674592617332,1.0000012169878678,0.40396244111947766,2.475480676412942,-0.0499227298532602
5.376641774976866,0.5263032484457602,1.1184069785757156,1.1292396974422971,0.030437262810184794,37.10056664702569,0.05866553044176541
5.6932033230959345,0.6232027493448573,1.129474694384983,1.0188513573919755,0.7331405018045076,1.3897081867448824,0.1889251340823171
3.7914196325472322,0.7622072318576484,1.5497352115834269,1.0693166021796892,0.7657231818056478,1.3964793382095855,0.031732842845975724
3.4178169993565297,0.7301399780770654,1.2819414754464007,1.4066379932103847,0.5489477643597718,2.5624259438435315,-0.008527148555229468
6.247896555549082,0.7279157103002264,1.0573918114397007,0.8501008835988022,0.771130238859183,1.1024089586428996,0.13461655288874147
4.034879753394237,1.0219084060603318,1.3289972263435406,0.8227366417347985,0.769575955457687,1.0690778940013732,-0.004134463796192996
5.128932571552126,0.7748269491663872,1.2691373581438596,1.0113425661243525,0.658357111046856,1.5361610730021782,0.0694352079586623
6.0597561607124115,0.39997475953383,1.1835569806934794,1.0667325285784757,0.6528982000631455,1.6338420422591238,0.08679496234478914
5.234721190045959,0.7846211615635187,1.1589812704592255,0.9671443127738094,0.7525724197627519,1.2851179333394933,0.08936239867680323
3.991179033850096,1.205747867871696,1.1445914274763802,1.0829709619816152,1.0999146640120445,0.9845954394601618,-0.07848494527547449
5.690760258096332,0.5663795904112018,0.991072134881355,0.8208301711105146,0.8692738964816631,0.9442710455620239,0.2569329135141595
4.714979505935793,0.9296262234558158,1.2644064405147974,0.9293716377128586,1.024465962976377,0.9071766864882056,-0.00477735822723458
5.7840017162571735,0.8701546814938051,1.0464371433532402,0.9264618431540351,0.7634683332082489,1.2134908585675772,0.13896648727271346
5.871400042875562,0.3449961156835529,1.028197759808439,0.9933778651799772,0.30944994004783505,3.210140758231913,-0.07483960532844346
4.353779112045101,1.0417013248935174,1.4705551193283373,1.1479419384033316,0.8394677328048109,1.3674640412536805,0.09749121255980588
3.398357644429126,1.0695067033648715,1.6736164524429753,1.0770520456142445,0.7140921420703977,1.5082816098374947,0.15547775632636004
5.578698310668508,0.5803884876287135,1.2122485439899175,0.903371196144731,0.8607831475082007,1.0494759321901392,0.10310121160941209
6.014997505542711,0.19264284107482307,1.1143414941524876,0.967083129537423,0.4054949163888124,2.384945138523332,0.1722265855381482
4.318316691444907,0.826855438611119,1.085108447980937,1.218321426263747,0.9280076770686957,1.3128355038096962,0.08630927380257347
6.061668563028453,0.6627659361755153,0.9477933408877328,0.8069395194277612,0.7732140235703234,1.043617284256835,0.14525446575774104
4.616088642563912,0.7881713201161878,1.2634888719638477,1.1110389241240555,1.0942348807560058,1.0153568887846454,0.04827547247492413
3.700228413193502,0.9090343174175571,1.2662504213999919,1.1063259135649277,0.9176908556721184,1.2055540345933302,-0.008175772025719114
4.280842808308835,0.9711520898284745,1.4413714916758997,1.001682260003201,0.05866090281613638,17.075807086413597,0.10788583270053213
