c,k,invest,leisure,hM,hH,cM,cH,yM,yH,zM,zH,productivity,y,h
0.17840169570786496,4.812008820346695,-0.3190003742361175,0.8478760513871485,0.021267223336635735,0.13085672527621586,0.30381678020798875,0.11859940541857333,-0.015183594028128689,0.11859940541857336,-0.5044583949323461,-0.21467405443300225,2.937657861842391,-0.015183594028128689,0.021267223336635693
0.1409120003377081,4.021546594320409,-0.6701620055176194,0.9194220014163268,-0.044487602104016435,0.12506560068768952,0.2976572940823597,0.06819829547060703,-0.37250471143526004,0.06819829547060713,-0.9172382160125374,-0.5321036246758839,2.009730135109717,-0.37250471143526004,-0.04448760210401649
0.3925131044234072,3.8702756559157967,-0.05073227354660276,0.7483714352043365,-0.12343635110265712,0.37506491589832053,-0.183101020079259,0.6370498440058042,-0.23383329362586253,0.6370498440058041,-0.14565338820984242,1.725935252735968,5.5261407203803,-0.23383329362586253,-0.12343635110265717
0.28640006512996546,3.141459441395656,-0.6320593231222467,0.8790234544135895,-0.18230783894515362,0.30328438453156403,-0.058848777520667306,0.43181153480733503,-0.6909081006429145,0.43181153480733514,-0.8345104065929718,0.7768407489323823,3.57657516214773,-0.6909081006429147,-0.1823078389451538
0.3059201690885935,3.27060155664037,0.2076786012796044,0.7076821049585877,0.008023755790010398,0.2842941392514017,-0.053280652392057704,0.4570115333558087,0.1543979488875455,0.4570115333558088,0.08321670216109012,1.117655825214665,4.72102695110536,0.1543979488875455,0.008023755790010287
0.33802950676706045,4.83331433916384,1.644477821439479,0.42459344330900306,0.35808739293498887,0.21731916375600832,0.07035018385115882,0.4479041231892741,1.714828005290637,0.4479041231892741,1.683186957004502,1.5619733629356343,6.872574243986574,1.7148280052906373,0.3580873929349889
0.21147878312496826,6.849482603132396,2.137001122447651,0.36326657902907894,0.628450750470107,0.00828267050081466,0.5051382956523143,0.07654885187696533,2.642139418099966,0.07654885187696522,2.2069484280129172,0.42296537398790157,6.267908389322098,2.642139418099966,0.6284507504701072
0.19916896795929712,7.681777338230934,1.0035318001768492,0.5993910934811579,0.37624588029189543,0.024363026226947415,0.553849125589104,0.037591664963272514,1.5573809257659554,0.03759166496327221,0.9968529969422393,-0.01575409309661724,5.039684797491395,1.557380925765955,0.3762458802918955
0.15490201763358769,7.253717195547948,-0.2360157092272132,0.8533597554020371,0.10519513834101797,0.041445106256945405,0.5561373778852942,-0.02614378251947616,0.3201216686580824,-0.026143782519476244,-0.36969985994184096,-0.625372767619554,3.1369391007501157,0.3201216686580824,0.10519513834101794
0.09224197959368269,7.50919190176638,0.4368176361071307,0.7313346853046901,0.3313258638130536,-0.0626605491177436,0.7265255329833946,-0.1901879632312977,1.1633431690905258,-0.19018796323129758,0.3359789692165319,-1.0214269593701863,3.182780216300477,1.1633431690905258,0.33132586381305373
0.32984506230246435,6.754136562384845,-0.5673255418373753,0.8846728560025082,-0.14327533616237736,0.2586024801598694,0.15907475711816543,0.39711918064970775,-0.4082507847192089,0.3971191806497074,-0.6647571008261843,0.8099596361182944,4.7028536308733795,-0.4082507847192089,-0.14327533616237753
0.5817578393554065,6.338023928363571,-0.24725921996165345,0.771785919910331,-0.30045795465944775,0.528672034749117,-0.35609735279189947,0.9816122413867846,-0.603356572753553,0.9816122413867845,-0.2222047420624504,3.0281633056725363,7.860411498905211,-0.603356572753553,-0.3004579546594479
0.5373934636410773,5.462121148753693,-0.7174521814007895,0.8678686944647894,-0.39062992711345673,0.5227612326486675,-0.36058738380303845,0.9207325769691523,-1.0780395652038284,0.9207325769691524,-0.7683205963597726,2.6344877260100517,6.712908463439504,-1.078039565203828,-0.39062992711345695
0.5725603210622384,4.558603652830203,-0.7669644672046478,0.8648365831286688,-0.45029678681814805,0.5854602036894794,-0.5065166432501361,1.0350168472128536,-1.2734811104547847,1.0350168472128536,-0.827306731738538,3.0035173169463603,6.921461384451753,-1.2734811104547847,-0.4502967868181484
0.5367419643531692,3.201237731986919,-1.2434008295225298,0.9570975106341642,-0.5580852235767322,0.6009877129425678,-0.5680207527596904,1.0114285758245065,-1.8114215822822215,1.0114285758245065,-1.3874170602545481,2.725821892289772,5.790230660529134,-1.8114215822822215,-0.5580852235767325
0.6526215180066155,1.4885400267729332,-1.6326667619143136,1.0018272087166378,-0.7882122781138767,0.7863850693972387,-0.9526187703246843,1.3454952037341648,-2.585285532239,1.345495203734165,-1.7973631557811212,3.7700114087594807,6.430866576517047,-2.585285532239,-0.7882122781138772
0.6364225177706362,0.178148300896793,-1.273178225206818,0.9228922629279457,-0.7081164771649017,0.7852242142369554,-1.0157321171647284,1.3504176651435522,-2.2889103423715484,1.3504176651435524,-1.4456749958658388,3.840939310084507,6.428383915302991,-2.2889103423715484,-0.7081164771649021
0.7975732905429251,-1.7482515004591113,-1.9219460938334867,1.0100275732302126,-1.0465888775871879,1.0365613043569748,-1.5169387714391047,1.8001357723474394,-3.4388848652725934,1.8001357723474394,-2.121475780276897,5.2253111134656836,7.274627726573872,-3.4388848652725934,-1.0465888775871885
1.04676241752001,-3.2573178245792844,-1.5527726116316536,0.8797441675736271,-1.2081939128097081,1.3284497452360806,-2.1157357324981794,2.4177049295502417,-3.6685083441298363,2.4177049295502417,-1.6517201957253205,7.53614742726627,10.284247521907432,-3.6685083441298363,-1.208193912809709
0.9207547155643379,-3.249038424445698,-0.07315354548089875,0.6052095020114105,-0.7311860138624452,1.1259765118510343,-1.8101440477011934,2.1041825676126824,-1.8832975931820959,2.1041825676126824,-0.10738242238768181,6.816556805233677,10.433887431237705,-1.8832975931820959,-0.7311860138624459
