Parameter,Value
beta,0.9926375361451395
delta,0.021
theta,0.339
N,1369.0
lambda,0.0037092270809439363
gamma,3.3483073360077786
rho_g,0.9958903794772136
g_ss,0.011815215971179738
sigma_lambda,0.010951545078475289
sigma_mu,0.007984248152650336
