Variable,SteadyState
y,994.2366965133898
cp,735.4899265136936
dk,258.7320602548285
n,298.6227955623073
g,0.014709744867656893
k,10375.954658595983
y/n,3.3294065667064703
cp/y,0.7397533495725165
dk/y,0.26023185541446575
g/y,1.479501301776663e-5
