Statistic,y,c,k,invest,h,lambda,productivity
StdDev,0.7769373776981224,0.5532990283224187,0.4856015564999598,0.8904087198192665,0.8680291827288602,0.811452591619402,0.6562080536413152
RelStdDev,1.0,0.7161467839603854,0.6300691472311069,1.1761432377286125,1.150515946989922,1.0605367260795413,0.8501005473823375
CorrWithY,1.0,0.22861670093253242,-0.004765810902307538,0.42678177342524715,0.21227846947208345,0.666509799844197,0.4990929097018762
