y,c,k,invest,h,lambda,productivity
3.0282606448202474,1.2780523929699548,14.096715651749765,1.7502082518502924,0.5690239008969133,2.0001300740638293,6.46574676368293
2.228865354448453,1.17104405680163,14.802119058102845,1.0578212976468238,0.451047200331969,1.5384403985531545,5.378538804437354
2.462867308178624,1.2442885826217744,15.650644807207126,1.2185787255568505,0.47543516304867867,1.6610849426825938,5.809541321035173
1.8749119895124087,1.1579115711623027,15.976379105377056,0.7170004183501069,0.3905203335752684,1.3238004476695717,4.989263932073552
0.887500801455821,0.9718901990321179,15.492580230166334,-0.08438939757629582,0.2578285963763835,0.7695818673664355,3.5015243630940622
0.4234469402503882,0.860734892382653,14.667977772279912,-0.437287952132264,0.201211312867068,0.5161934230063561,2.738504023090727
-0.6685408128974064,0.6108641517162481,13.021873363359262,-1.2794049646136538,0.06515191406136106,-0.08355511392105153,0.9744568087852277
-3.1430814466450867,0.052926173620908123,9.500318909009286,-3.196007620265995,-0.24517751691201645,-1.4451111058198727,-3.0007297025795596
-3.4935081402582,-0.14861499499631214,5.917917791022162,-3.3448931452618886,-0.25946657365566367,-1.6013799293736355,-3.893227263797038
-0.003715953613155687,0.41825045908941405,5.348003433544033,-0.4219664127025723,0.23142978080638787,0.3844041551405213,1.1212223941699042
3.8494611266523524,1.1702893416727802,7.8934751326849995,2.6791717849795695,0.7429091471569456,2.5393401375906697,6.997104673334167
6.365263097485456,1.770018964378586,12.29138238747474,4.595244133106869,1.0505495168380445,3.9139094102573337,11.125956519478935
8.683094280621269,2.399042022878129,18.268150085531012,6.28405225774314,1.315468279509372,5.1575001420768105,15.135626037201362
7.3713820095258455,2.3585001924167597,22.824328150501827,5.012881817109088,1.0891955871174117,4.359644551146622,13.714871304145216
10.027946997430995,3.0613992919845785,29.220267652185708,6.9665477054464215,1.3971993843076398,5.790360598807293,18.26197373090344
12.638794151865678,3.823674443814439,37.30488066893231,8.815119708051245,1.6826031814181766,7.175138003787611,22.923057845561615
9.706960280815803,3.5365386668336853,42.54268026619114,6.170421613982127,1.2244229853298016,5.4504480045831265,19.218935410263974
7.71853253466266,3.3326557598886666,45.86499003431038,4.385876774774003,0.9158888076445222,4.2834556731591125,16.682138390400354
7.0747592279537415,3.3272520227650153,48.46587248864137,3.7475072051887355,0.8013286604394974,3.8875545178859614,16.023831038409167
4.423508527027675,2.892097013280549,48.78563719017248,1.5314115137471367,0.42947566493584316,2.3802643557651457,12.202175029465675
4.466180474839492,2.912575306784128,49.11960142847356,1.5536051680553746,0.4321992442734646,2.400505427235198,12.299925978767384
5.297461505480313,3.091844595097552,50.097228303144504,2.205616910382771,0.5384245444422195,2.860331632695943,13.613374793378131
8.017839910959426,3.6742105054565055,53.18842700106883,4.343629405502931,0.8870879132869962,4.366400178143525,17.900101138870678
8.068489803890825,3.799555619323347,56.12765051060961,4.268934184567491,0.865865067881401,4.36029054790912,18.28788282025972
8.731627071429813,4.042154967979422,59.41393135129479,4.689472103450403,0.9264987719030375,4.697404070391162,19.603522205894578
8.011090875489408,4.020003615003654,61.919670327998205,3.991087260485768,0.8021762784571992,4.25909891032612,18.82340710005418
8.64681654641731,4.2409499031180165,64.77754521309758,4.4058666432993085,0.8631173475728289,4.585744599059562,20.053396200701435
8.207844135714726,4.259341404803098,67.1066093136818,3.9485027309116436,0.7796583480126669,4.309205524546495,19.663890096775678
5.985366709507061,3.9001065416129173,67.51420424873393,2.085260167894161,0.4666011757545735,3.0440279871793394,16.475204350455105
4.907225470895345,3.69892721177445,67.03464740163652,1.208298259120911,0.3212484781092597,2.4383069319820434,14.855965456124604
5.441012387338154,3.788181510390121,67.01161209354368,1.652830876948049,0.3957175017032202,2.741285723893757,15.629813276351822
4.51579952862267,3.6016469772948656,66.25047434253293,0.9141525513278207,0.27434459765718583,2.225626004085528,14.20289182436543
4.6351859152956365,3.5972454390125264,65.63215296025274,1.0379404762831244,0.29689745015643315,2.300656685055864,14.310439708305324
2.6493145230089974,3.1756719707851224,63.464991688470334,-0.5263574477761097,0.04151392619765504,1.2001697511764655,11.190692308208913
2.8058275244799322,3.1263316618254495,61.55786275891309,-0.32050413734550276,0.08162605957628949,1.3115282604144847,11.214498209343267
2.864763658354734,3.0670981577013876,59.81658169059364,-0.2023344993466396,0.10657062279619853,1.3655863354111692,11.114118223379743
2.3867791054125593,2.9062924159844954,57.80165383775689,-0.5195133105719227,0.05946361312893117,1.1184044642414943,10.203625967290357
-2.040551128782101,1.942716470214982,52.37334489281591,-3.9832675989970703,-0.5041522721933493,-1.3279641527021537,3.1846344238472044
-2.1599909733946667,1.7164837242883855,47.18753657281249,-3.876474697683041,-0.4708912499112045,-1.3342404178526044,2.456712542009466
-0.5165931391502825,1.8530615842312987,43.638193435110615,-2.369654723381572,-0.20816576284030924,-0.3602209007446433,4.467454078499689
-0.9369472915056285,1.6364516050702889,39.973839702656946,-2.5733988965759087,-0.23139324996475724,-0.5551737423088006,3.46449955649689
-2.7790645327654335,1.130229905676975,35.06519927164813,-3.9092944384424007,-0.44041496544660536,-1.5416497140971686,0.2608340138502716
-3.1749775830142335,0.8678764206694685,30.145715286173242,-4.042854003683696,-0.44817156426596044,-1.7078676780812887,-0.8407124422817205
-2.057683348610811,0.9087966995467343,26.425592355861376,-2.966480048157541,-0.25698236441132577,-1.0301729101201098,0.38664213972115746
-2.2782152599162138,0.7259246335646582,22.760812653483978,-3.0041398934808683,-0.2524113341462189,-1.111803292439355,-0.32574768898959583
