rel_std_y,corr_y,rel_std_c,corr_c,rel_std_k,corr_k,rel_std_invest,corr_invest,rel_std_h,corr_h,rel_std_lambda,corr_lambda,rel_std_productivity,corr_productivity
1.0,1.0,0.6301792210099353,0.1016960926624405,0.6304175488414607,-0.2457547788993739,1.1773461143529795,0.36038743129597656,0.9236947809896882,-0.010027200331562744,0.9786468045727181,0.4138664140805063,0.7428674379769127,0.458267435639557
1.0,1.0,0.6751578129956833,0.18248279818755184,0.6010593101293957,0.02662598664526053,1.0815882291444847,0.409891475029225,0.9231417852723461,0.28735163993431356,0.9038790616510051,0.7916583742175213,0.728349515581137,0.49870054052832
1.0,1.0,0.7103725410929342,0.4154351774441252,0.5142823511016061,-0.1218381510105775,1.0872607067690137,0.5732242745824553,0.8153622646000173,0.3461372545287086,1.032842109438915,0.6121232035616864,0.7263226394323692,0.6572330679617883
1.0,1.0,0.5835924430241043,0.1619074022696746,0.6263261010295484,-0.05871662387978527,1.0917564445522652,0.36574919822048546,1.2178921055103553,0.259349373000696,1.229960718536383,0.6876659587929099,0.9449324520788165,0.3969916460952079
1.0,1.0,0.9157761116414622,0.0007146426600675284,0.4979470557833044,0.017356789497596215,1.024743671785258,0.31577792640751196,1.271836504394559,0.06400756328515203,0.8687027589293745,0.5712400840211794,0.5721087045616147,0.19373620381895654
1.0,1.0,0.9070617615924997,0.046675399377265225,0.8890364992658816,-0.10942374211268684,1.1998542912583723,0.35291145954613234,0.9508778395075509,0.22624207345770053,0.9937256587522298,0.6003037130060384,0.7611171933679027,0.425036399309319
1.0,1.0,0.2567874467245457,0.8275256081074038,0.15276983878344147,0.3180827536987082,1.794682422027982,0.26927298903314656,1.7635513893630221,0.45188271756381815,1.0744661878269168,0.9372886318861212,0.46612691984366866,0.8950362962893481
1.0,1.0,0.8420528528203932,0.11095334648373817,0.6150377104967069,-0.11639129509296658,1.0799144500421594,0.4404605982251328,1.265255740332898,0.37858159927499163,1.0458993510315249,0.7752372470926068,0.6607135529834006,0.6326550756709496
1.0,1.0,0.5427758835007352,0.16634663258631488,0.30464891802006117,0.18386081700703152,1.4166591720206207,0.3582565545655239,1.1699530855983664,0.5015807254210447,0.8153519767144849,0.9061284833805573,0.8078188698979787,0.30279005908303747
1.0,1.0,0.34872527947703574,0.2801647373687082,0.35478541206306685,-0.08294024592209703,1.011387138580029,0.29086442659744066,0.794618848910541,0.32777913947747084,0.7669822906746057,0.7165924834644646,0.7465048567374934,0.3792622693744294
1.0,1.0,0.6181581296281824,0.2637532610513767,0.274445273375352,-0.0018327424579851167,1.8716767753099162,0.540359853156342,1.8181606914791293,0.6725173824750733,1.305631121413676,0.9727995715820938,0.8440805941069288,0.5377855849803154
