c,invest,y,k,h,z,g,productivity
0.4498856190263413,-0.5246324252392286,0.13387906804678318,11.821874974660243,0.20278358821995698,-0.6409128405965069,0.20862587425967022,1.8523290053545682
0.7524654971700853,0.07717826246472792,0.4585426421610834,11.603506362758464,0.15720728702469056,-0.2665392351986393,-0.3711011174737297,3.332771627823533
0.3302280146918954,-1.8193615073365952,-2.0966025719725736,9.494057196352907,-0.1575329837725205,-1.7254990983601126,-0.607469079327875,-0.835214594351231
0.2660154481495622,-1.5814821597135928,-1.7765879630425094,7.6752236067304915,-0.07786316566982099,-1.5593084411882085,-0.4611212514784792,-0.7604758428443494
-0.0613676228170672,-2.544131802856608,-3.0307589522730973,4.93921121370562,-0.19105620016398533,-2.306051135802392,-0.4252595265994232,-3.265167840049842
-0.457138522292863,-2.863371956906003,-3.06856070769802,1.952358976456976,-0.06181582913600353,-2.5070267853904804,0.25194977150084646,-4.814714911682807
-0.35568065583581343,-2.3206816374803863,-2.6668539042327906,-0.41713163543483667,-0.024391111133571786,-2.1686174292361575,0.009508389083409285,-4.025464570751692
-1.0573158103376505,-4.41337097970941,-5.222089543317436,-4.820074324258375,-0.24310626869661806,-3.750864300840039,0.2485972467296247,-9.26077006820632
-1.383977513529056,-5.046470437352937,-6.1910249779420905,-9.746042903504858,-0.30520979169528156,-4.291216331743797,0.23942297293990394,-11.477471067298278
-1.0270278155293804,-2.8742985383992066,-3.6151892371319834,-12.376690369316442,0.03569672786758388,-2.7194891088465667,0.2861371167966067,-7.538177238014222
-1.298304161511363,-3.3509905651101968,-4.204828451735139,-15.418263675193728,0.02282157212978636,-3.0975438654884586,0.4444662748864219,-9.16402387964013
-1.6165215155431434,-3.9444321467256955,-4.953732958248165,-18.97723923003958,-0.00258287861897738,-3.568852645778771,0.6072207040206754,-11.128438660230497
-1.508391494971678,-3.0590481820076083,-4.010212094223133,-21.561856431296196,0.13006550473658574,-2.9581804657553263,0.5572275827561552,-9.771888307789556
-1.7489659460072184,-3.4853467683435304,-4.570367536437334,-24.508156788857324,0.11194331444887082,-3.3035899486237197,0.6639451779134173,-11.25097765857058
-1.8008185423201097,-3.2342619502689622,-4.3559234300608995,-27.129714819404857,0.16836359319391886,-3.154473165053717,0.6791570625281753,-11.234597431355208
-1.9639948212580296,-3.3313531151298377,-4.490819756446839,-29.78282506404958,0.20017551616442314,-3.2502790906543453,0.804528179941032,-11.992786111290613
-1.9909847394526357,-2.356125377325792,-2.971909664869184,-31.39437981477413,0.4828307549705281,-2.4873524090554984,1.3752004519092467,-10.576970720383418
-2.695348227992883,-4.781408292024484,-6.036564949816129,-35.39092861142926,0.17336670157425196,-4.32949918365356,1.440191570201242,-16.332117413665436
-2.770909381549978,-4.421654787739177,-5.699019275886394,-38.9278101838827,0.26009282220797547,-4.109009296256293,1.4935448934027657,-16.283196345861406
-2.726949191451687,-3.635366469336746,-4.791278015773121,-41.589981398622385,0.40835951486420274,-3.557931082673527,1.5710376450153154,-15.207538213717548
-2.661328576187509,-3.2441723793718054,-4.54719425462756,-43.79440424302862,0.42973366008318237,-3.325597437689438,1.3583067009317589,-14.712800203096581
-2.165844036656204,-2.1752096100672187,-3.963940472382803,-44.87475374702014,0.3643892347860591,-2.6650761290808287,0.37711317434062425,-12.236920073431964
-1.7828141840053138,-0.8154446687931362,-2.461634029449149,-44.56832957213777,0.5031140987890879,-1.683962954369938,0.13662482334930437,-9.271535909322267
-2.1661171702997972,-1.8000276852359063,-3.371936071133132,-45.25414901807022,0.4710336991979157,-2.3683539129221103,0.594208784402575,-11.645958974019155
-2.062983165952558,-0.8204855329030604,-1.8941767284001685,-44.943280825521526,0.7015531422408232,-1.5945837064189636,0.9892919704554539,-9.774253668558192
-2.1472016828026432,-1.0955250249693824,-2.1717723485696063,-44.91522382985286,0.6805403654217613,-1.787907771251083,1.0709543592024235,-10.373542845668627
-1.7233739501289054,0.8500630429047099,0.44626253463304,-42.94228019120183,1.0060530517736492,-0.29328481115642924,1.3195734418572405,-6.136592598559138
-1.5735558458922982,1.422689216622751,1.4010424901143907,-40.446033969799046,1.126397831538558,0.1928618354793017,1.5519091193839432,-4.609545157866408
-1.2259037806348707,2.69814713929136,3.2647945823503464,-36.7367359812627,1.34233759178211,1.2167859469633342,1.7925512236938623,-1.4178495962670334
-1.4502982221143643,1.395411119259752,1.835139816692007,-34.42290646247139,1.1621587400141642,0.29936802616538627,1.8900269195466233,-3.7046347025821884
-1.1379784763096852,1.9196032976635529,2.3816513011506673,-31.642730503246046,1.1531632092717854,0.6934912351987345,1.6000264797968042,-1.9651403244724879
-0.9937702210246468,1.7817031486777446,2.1484733168708035,-29.069959091987155,1.0616244142041467,0.6013517825134149,1.3605403892177097,-1.6474790358941336
-1.1721268955557522,0.9739169658161041,1.382514814681501,-27.369293148871368,0.9850742116502584,0.0548197086428871,1.5807247444211532,-3.094715185565777
-0.8770923220336448,1.977107951753959,2.768305933976824,-24.707952868395626,1.133076213437835,0.8446906694353111,1.6682903042565143,-0.5819661842426482
-0.5965380276241694,2.595911007817846,3.6008820673676247,-21.494343038867886,1.1864865793787294,1.340805292659133,1.6015090871739517,1.3222568061488538
-0.8094631119415376,1.2480528870315757,2.002673996442459,-19.708931575864614,0.9720285138972082,0.36678033835946244,1.5640842213524233,-1.0892715451363122
-0.06297365868150195,3.3827663618124553,4.463647518190664,-15.833441924655542,1.158359702481194,1.9514642753596685,1.1438548150597134,4.223103977262464
0.5042913472616135,4.930628453435166,6.505558393924745,-10.506977423103983,1.3308742484287164,3.1638489391249065,1.0706385932279692,8.43182453233144
0.36646658536633275,3.905183454529617,5.587913459713543,-6.339119532996765,1.2130904872713044,2.4953460716175657,1.3162634198175955,6.987723664829922
1.1746169755653715,6.1061338192794405,8.323906005056823,-0.07450772539240091,1.4277247517711558,4.1807013657912835,1.0431552102120123,12.810647484790106
1.0005401616531937,4.482531619010842,6.507878025047689,4.409886586753252,1.1607089856598203,3.044432767847336,1.0248062443836552,10.329689848657413
