Statistic,c,invest,y,k,h,z,g
StdDev,0.5821706456001393,0.8874675637861459,0.7887147497628643,0.477389535196996,0.8253359331767602,0.833037917831063,0.7831470969334279
RelStdDev,0.7432819031091501,1.1515624804027005,1.0,0.6101605411583837,1.0788833743531152,1.0759531391857429,1.0239193000993305
CorrWithY,0.24001309361439493,0.4568052536188289,1.0,-0.00797378184190377,0.07777309992810255,0.543823202789032,0.0037540172199729276
