date,dy_obs,h_obs,R_raw,C_raw,G_raw,I_raw,y_pc,c_pc,g_pc,h_pc,h_log
1970-04-01,-0.37504978801390365,0.03612751857674823,8.1,3263.571,1408.442,601.421,0.038911593947924,0.023923667311752286,0.010324610016420361,0.0004096147079521464,-7.800293576797361
1970-07-01,0.34709579948475344,0.0255103971589854,7.21,3292.183,1413.088,611.208,0.03904688912213184,0.023996202513192805,0.010299775503658999,0.0004052887839295606,-7.810910698215124
1970-10-01,-1.6529723168293042,0.012154026373188742,6.2,3283.245,1416.478,578.757,0.038406760008116644,0.023793699452126272,0.010265225961677827,0.0003999115865147694,-7.82426706900092
1971-01-01,2.096786567007891,0.010933071217722024,4.14,3346.268,1417.488,646.232,0.03922056990525595,0.024109427573039376,0.010212817464606075,0.0003994236103606038,-7.825488024156387
1971-04-01,-0.014598802457976845,0.008689036524534899,4.16,3377.022,1417.542,664.569,0.03921484458965651,0.02419659515927948,0.010156786036713812,0.0003985282948569136,-7.827732058849574
1971-07-01,0.2639013021954906,0.003191152936333097,5.31,3403.947,1415.074,672.632,0.03931846974911467,0.0242544836578953,0.010082968156587789,0.00039634324476461245,-7.833229942437776
1971-10-01,-0.3359496746570656,0.008107991057809905,5.2,3460.427,1412.444,654.519,0.0391866011080725,0.024516649426834625,0.010006971504683094,0.0003982967990591303,-7.828313104316299
1972-01-01,0.7003475503430945,0.008138035473327143,3.51,3506.098,1427.252,697.648,0.03946200678175093,0.02456351586145051,0.009999243358367896,0.0003983087658334268,-7.828283059900782
1972-04-01,1.7219430897843058,0.010156334479752616,4.17,3572.842,1431.162,737.276,0.040147404222102966,0.02490080357951813,0.009974435995901953,0.00039911348382735235,-7.8262647608943565
1972-07-01,0.38226605839013494,0.010258975286284944,4.55,3627.904,1411.927,747.745,0.0403011678275635,0.025144013584225664,0.009785681117233254,0.0003991544512596597,-7.826162120087824
1972-10-01,1.1745247125501734,0.015848643033849363,5.05,3713.038,1411.696,752.434,0.0407773057080586,0.025609278009214555,0.009736640273677821,0.0004013918393246338,-7.82057245234026
1973-01-01,1.9412120018842849,0.025685096360246185,5.94,3780.829,1410.872,796.53,0.04157661268185561,0.025945848202031295,0.009682075212736755,0.0004053595937414219,-7.810735999013863
1973-04-01,0.57700392636999,0.03101777762028135,7.12,3779.125,1409.434,830.483,0.04181720481499942,0.025803296485705896,0.009623403136714028,0.0004075270212141282,-7.805403317753828
1973-07-01,-1.05430973884717,0.03247624694349227,10.4,3792.426,1400.599,800.37,0.041378637941222415,0.02575798903778365,0.009512806232298466,0.0004081218205157811,-7.803944848430617
1973-10-01,0.4386775985510294,0.03241221521437687,10.01,3781.115,1412.448,828.879,0.041560555480470336,0.025551527233409917,0.009544857413163941,0.00040809568860656844,-7.804008880159732
1974-01-01,-1.384430327331465,0.023070409392827784,9.65,3747.286,1431.496,781.544,0.04098914307610603,0.02519133059501321,0.009623308437476892,0.0004043010897259215,-7.813350685981281
1974-04-01,-0.2487862939733354,0.020915028105327416,10.51,3760.779,1428.71,778.425,0.040887294451357394,0.02515941476337655,0.009557995156477877,0.00040343060517266754,-7.815506067268782
1974-07-01,-1.463577224085233,0.012371756680960466,12.92,3776.934,1440.305,738.08,0.04029323518449497,0.025137998509131572,0.009586184175496512,0.0003999986688674724,-7.824049338693149
1974-10-01,-0.8943795771949148,-0.009155090192363602,10.06,3721.726,1454.526,742.56,0.03993446748207061,0.024645723102596533,0.009632048420955042,0.0003914799780145554,-7.845576185566473
1975-01-01,-1.717902293733653,-0.04552784004432109,7.13,3752.942,1464.923,622.949,0.039254291456624166,0.024730269183881916,0.009653210767355277,0.00037749662284603474,-7.88194893541843
1975-04-01,0.259821568541696,-0.059240234276356496,5.49,3814.672,1473.324,604.403,0.03935641518469198,0.025023595704624025,0.009664753383231766,0.00037235556896676134,-7.895661329650466
1975-07-01,1.1310805975158988,-0.05583815352500743,6.1,3868.889,1478.574,651.26,0.03980409499768441,0.025235889608568318,0.00964440443809561,0.00037362450997658323,-7.892259248899117
1975-10-01,0.8351567017808925,-0.04397202041051251,5.82,3910.492,1478.614,669.438,0.04013791357848418,0.02537929154605989,0.00959627990290884,0.0003780843966199816,-7.880393115784622
1976-01-01,1.725405071932773,-0.03265246300899172,4.87,3988.677,1472.063,734.031,0.040836464259652705,0.02575782839208798,0.009506196198975804,0.00038238845873182954,-7.869073558383101
1976-04-01,0.295104967338089,-0.03646812582832393,4.82,4025.375,1473.233,763.083,0.04095715268535128,0.025881829112255592,0.009472400645538774,0.00038093217342103405,-7.872889221202433
1976-07-01,0.06676821830562396,-0.03726730093982766,5.31,4067.757,1471.642,765.742,0.04098450817783921,0.0260293135222299,0.009416941820881005,0.00038062786352350967,-7.873688396313937
1976-10-01,0.26225094150764683,-0.03647957505275734,5.02,4120.536,1478.538,771.471,0.04109213149630875,0.02624662246087405,0.009417859395004873,0.00038092781206805395,-7.8729006704268665
1977-01-01,0.7375346665448479,-0.03040072036120378,4.61,4169.104,1485.408,807.213,0.041396320582415914,0.026438942722337783,0.00941991781238902,0.00038325046928111204,-7.866821815735313
1977-04-01,1.4911103317337027,-0.01593742292258149,4.73,4191.711,1495.043,865.083,0.04201821040468268,0.02646766769168598,0.009440131084605135,0.00038883381427155225,-7.852358518296691
1977-07-01,1.2744341690634098,-0.010371218443742336,5.42,4231.345,1509.023,908.859,0.04255713163928762,0.02658130477117819,0.009479680874454251,0.0003910041775292898,-7.8467923138178515
1977-10-01,-0.45554486070091826,-0.005146121311781826,6.47,4294.965,1510.727,886.06,0.04236370571866304,0.02685779945596098,0.009447062501954163,0.0003930525591720601,-7.841567216685891
1978-01-01,-0.11869075647221727,-0.0048914908398938195,6.7,4319.094,1516.293,903.329,0.0423134537439997,0.026890640467696444,0.009440426604904835,0.00039315265507387136,-7.841312586214003
1978-04-01,3.390568080291878,0.019801105892336857,6.89,4411.431,1524.012,962.001,0.043772719098615305,0.027355506222754133,0.009450475310517601,0.00040298146506018124,-7.816619989481772
1978-07-01,0.5237630424106854,0.023459236614367107,7.81,4429.955,1529.963,990.029,0.044002585877038154,0.02733966328054606,0.009442234345878025,0.00040445832356172164,-7.812961858759742
1978-10-01,0.8739886185853418,0.03087499816971384,8.96,4465.702,1536.632,1012.924,0.04438884895842932,0.02743346663963682,0.009439757222805822,0.0004074688388836672,-7.805546097204395
1979-01-01,-0.26984919957318,0.033547868383632995,10.07,4488.83,1542.584,1014.607,0.04426922747621028,0.027451931309474303,0.009433841336627608,0.00040855940703050464,-7.802873226990476
1979-04-01,-0.2876016707903162,0.032788232526632655,10.01,4485.916,1543.119,1013.693,0.04414209134878961,0.027326153433803197,0.009399976852133868,0.0004082491685042824,-7.8036328628474765
1979-07-01,0.24907007522116942,0.036968635019094975,10.47,4529.568,1527.483,996.622,0.044252173122385885,0.027456919439898166,0.00925915621022004,0.0004099593865551312,-7.799452460355014
1979-10-01,-0.2599677392775668,0.034146100575710214,13.77,4540.839,1540.388,978.943,0.04413728115407115,0.027385301514356534,0.009289910923751454,0.0004088038935427258,-7.802274994798399
1980-01-01,-0.1258117285066973,0.02733965150941753,13.82,4534.348,1554.02,972.248,0.044081786194639254,0.027226126429051783,0.009330987606878663,0.0004060308386972812,-7.809081443864692
1980-04-01,-2.4732798964360203,0.005205175096020476,17.61,4432.231,1575.508,889.579,0.043004892432280485,0.026509034253006932,0.009423063810953546,0.0003971422932229645,-7.831215920278089
1980-07-01,-0.5575632035011324,-0.0037548299545129282,9.03,4480.849,1559.811,830.866,0.0427657801967463,0.02668252030583808,0.009288348855489126,0.0003935997903913489,-7.840175925328622
1980-10-01,1.5083050257981512,0.006210833317737752,12.81,4541.39,1556.421,908.306,0.04341570773220654,0.02695138958950286,0.00923675542868673,0.0003975418835272962,-7.830210262056371
1981-01-01,1.5844370201594682,0.008396250312432407,19.08,4556.603,1568.804,992.376,0.04410908080234648,0.026945566042198884,0.009277154886933486,0.0003984116283470527,-7.828024845061677
1981-04-01,-1.0608882308491996,0.005997245992626965,15.72,4556.934,1587.081,951.246,0.04364360620368896,0.026862220807469892,0.009355527260508957,0.00039745698268696834,-7.830423849381482
1981-07-01,0.8343877038946346,0.001873487475421598,19.04,4578.013,1588.166,1004.861,0.04400928656179881,0.026890575990037944,0.009328653830339626,0.0003958213408831926,-7.8345476078986875
1981-10-01,-1.4257286401781144,-0.005800440154563269,15.08,4546.699,1601.749,969.475,0.043386285265998865,0.026618614944177412,0.009377427418929916,0.00039279546159745685,-7.842221535528672
1982-01-01,-1.8733133018447479,-0.025845749307706,13.22,4580.19,1609.925,877.772,0.042581089678115976,0.026732366416669096,0.009396358012081595,0.0003850001459129775,-7.862266844681815
1982-04-01,0.15850137905877304,-0.024214146048731955,14.94,4594.142,1610.759,877.104,0.04264863480831452,0.026734375363701962,0.009373379344056238,0.0003856288261446428,-7.860635241422841
1982-07-01,-0.6851424630073932,-0.03439885572493662,12.59,4624.939,1627.242,869.067,0.042357429625675895,0.026832395395790305,0.009440730082847926,0.00038172124109442807,-7.870819951099046
1982-10-01,-0.2594968956171506,-0.04675432295138382,9.71,4705.953,1645.704,801.889,0.04224765590203666,0.027220764572162357,0.009519287833827893,0.0003770339135011945,-7.883175418325493
1983-01-01,1.0359580846813987,-0.043429656328517474,8.68,4752.481,1663.76,829.672,0.042687598786298554,0.02741489091685222,0.009597471070756949,0.0003782895116351512,-7.879850751702627
1983-04-01,1.9965221318293036,-0.03436661932160945,8.8,4849.254,1676.798,903.148,0.0435484309009517,0.02790230963094238,0.009648192687894864,0.0003817335466126564,-7.870787714695719
1983-07-01,1.6850692761200214,-0.01751838641166703,9.37,4936.211,1696.748,959.692,0.04428846970270674,0.028319225958945763,0.009734306334836438,0.00038821956788636074,-7.853939481785776
1983-10-01,1.7937254910823874,-0.0016344466960989124,9.48,5014.874,1652.679,1053.054,0.04509005086423426,0.028692657584721275,0.009455821351535368,0.00039443525824040644,-7.838055542070208
1984-01-01,1.5054556387427365,0.013012937707921779,9.56,5056.492,1663.183,1154.826,0.045773996912261514,0.028806503620401862,0.009475044578512302,0.00040025522266468413,-7.823408157666187
