c,y,h,k,invest,lambda,productivity,L,X,mu
0.9163489731331659,1.2250022559673832,0.33162522001021916,12.65516068273369,0.30865328283421734,0.9954362777933261,3.693987624519177,0.6672645063297566,6.668374779989781,1.6198109950071888
0.9140344303041207,1.2139931978743372,0.32981291151805614,12.638740433235563,0.29995876757021667,0.9902246952424263,3.6810991419591885,0.6680098416680161,6.671724390472747,1.6184103586496115
0.9121736503386367,1.2073239688092614,0.32890091416031814,12.6179222408753,0.29515031847062456,0.9870409853138431,3.6712257303111904,0.6685467654246172,6.675651037265154,1.6175349102974947
0.9101259557846855,1.2005717288306175,0.3280382553408507,12.59291995789935,0.290445773045932,0.9838203425220821,3.660555027380192,0.6691039280529373,6.680047678197788,1.6166585263680406
0.907801905966963,1.193195876851162,0.32712478662572475,12.563490929836064,0.28539397088419893,0.9803111273345281,3.648578096971949,0.6697094237638526,6.684918123752285,1.6157184723467768
0.9074954668451691,1.1978683856771906,0.3283985845573521,12.539776575422184,0.29037291883202154,0.982486445171647,3.6484409560915454,0.6695801734488253,6.688027726819704,1.6162983682928878
0.9074882668754233,1.2029261138334577,0.32963564317889565,12.521720007994665,0.2954378469580345,0.984881837242189,3.6498677268976,0.6693493271306673,6.689589310958838,1.6169804242014758
0.9084747853077708,1.2122087577737402,0.3315184315033645,12.512410980260766,0.3037339724659693,0.9892984362346559,3.6567937826676222,0.668791854186147,6.6891119483595896,1.6182304215033372
0.9083686519236381,1.2135708142218735,0.33185789467213905,12.504802868052483,0.3052021622982353,0.9900144741134166,3.6571077773874934,0.6686420135081247,6.688342858851492,1.6185317858668355
0.9112519033202183,1.2310117493081543,0.33500722236019653,12.511942642339106,0.3197598459879359,0.9983098597276857,3.674434697725731,0.6674897579992782,6.684501350606146,1.6208403930417132
0.9127180998969944,1.2374495815724431,0.33597697655622377,12.523875557956078,0.32473148167544885,1.0014590985746912,3.6829721147939845,0.6669006459947212,6.680074238989308,1.621819014743393
0.915214586607222,1.2485268810049865,0.33769625535459874,12.54409096340494,0.3333122943977646,1.0067905936573913,3.6970990837435105,0.6660111361601955,6.674370559735778,1.6233634588211465
0.9171647490231859,1.2548119972890623,0.33844572694562075,12.568135937585694,0.33764724826587644,1.009867358694311,3.707626172043453,0.6653780819518583,6.66848777681658,1.624304625134857
0.912024019234525,1.22127242776555,0.33212190837356637,12.563180947677075,0.3092484085310251,0.994161066748775,3.6772788511870655,0.6672090375623294,6.669517090761355,1.620246881393401
0.9132968617939713,1.229352583746331,0.3336272919430958,12.565157145937508,0.31605572195235965,0.9979558950441098,3.684791231302792,0.6667490587194046,6.668938089742124,1.6212408944079837
0.91173862325691,1.2203444806838553,0.33200283520968904,12.559634074716016,0.3086058574269452,0.9937228064897335,3.675818171947632,0.6672799835098469,6.670041445558223,1.6201335682144848
0.9126341492873833,1.2264708458940323,0.33317185352396445,12.559479919454764,0.3138366966066492,0.9965971873080529,3.6812069298144574,0.666942545227897,6.669865447478435,1.6208850286663745
0.9153417741017104,1.2413941782885687,0.3358021632006839,12.571545325655254,0.3260524041868583,1.0036381155963516,3.6967484617922737,0.666010496965859,6.667076739529908,1.6227604285242831
0.915019398550278,1.2369880661635038,0.33482376836162836,12.579225360127099,0.32196866761322585,1.0016050164731067,3.6944022214915337,0.6661716691428742,6.665545297215289,1.6222638679466008
0.9144852865282685,1.2323817570181819,0.33388839345499643,12.582641196613835,0.31789647048991326,0.9994518471776219,3.6909773450507197,0.6663995066097451,6.665102374038764,1.62170698369263
0.9164332166964343,1.2423646283322747,0.33559963967011297,12.594006578334328,0.32593141163584033,1.0041544958614512,3.7019102891272886,0.6657717804279801,6.662992496964774,1.622945024327775
0.913106144949996,1.2215970434277847,0.3317580244045418,12.58764731235376,0.3084908984777888,0.9943871586108552,3.682296241039356,0.6669792037611207,6.664935222863755,1.6203697991130912
0.9088246959058123,1.1994445898667776,0.327966805196651,12.563576023505881,0.2906198939609654,0.9839053205069211,3.6579675770973097,0.6684324076673163,6.670474895380728,1.6175464300641775
0.907920317097984,1.1997201960572745,0.3284163609308919,12.541286501877524,0.2917998789592906,0.9839497180048288,3.6537988530326526,0.6686351418739352,6.675011044911764,1.6174761530509114
0.9056262397999394,1.1919421778859345,0.3274030516800349,12.51407027741658,0.28631593808599515,0.9802293519174482,3.641724869697141,0.6692846498312525,6.680106888740553,1.6164475969514107
0.8988172387856489,1.1603805726922147,0.3222645026372003,12.462781854387734,0.26156333390656583,0.9653066493388265,3.604140517698683,0.6714143718451159,6.689831697229297,1.6124674716798646
0.9021258968239397,1.1897052672841104,0.32824691570256853,12.43879167848821,0.28757937046017085,0.9790292249925087,3.62563697198632,0.6699526398240053,6.6926016118037985,1.6160400844379927
0.9015097685076165,1.1914599691043593,0.3288973713875615,12.417772087122747,0.2899502005967428,0.9798835412189131,3.6236730991124246,0.6699050247816004,6.694444079235858,1.6163352274193514
0.8964238788253737,1.1679674297797848,0.3250399203554929,12.37887133589909,0.27154355095441113,0.9688602825581514,3.5960601575955367,0.6713748930259082,6.699959750956779,1.613508828215597
0.8938874159813787,1.1623876078099853,0.32463041931296116,12.337899744330219,0.2685001918286068,0.9662332151153398,3.5838711395209737,0.6718767370526543,6.70533335654814,1.6128688930228265
0.901303495866897,1.2119954596145883,0.3339764937550806,12.340144214469655,0.3106919637476914,0.9896320450313806,3.628839466761447,0.6689548953613509,6.700823527138245,1.6191470890984776
