Statistic,c,y,h,k,invest,lambda,productivity,L,X,mu
StdDev,0.5646679666779546,0.8091149942680405,0.9351910457248026,0.4969837498014869,0.9157282787462832,0.8132649646617026,0.6205334845113087,0.5705433163159643,0.46145441416500316,0.39187634383613285
RelStdDev,0.7016985822838641,1.0,1.185841196431576,0.6191124386706981,1.1576438285647659,1.0172938237241844,0.7713910360142224,0.7302304892515475,0.5931691969719204,0.49976919556702976
CorrWithY,0.21900693312697844,1.0,0.24731753051137417,0.004745702667785588,0.4447816777691165,0.689179271173246,0.35104587258457515,-0.14385442166756185,-0.09611095935834107,-0.0436219525939816
